College_Name,Districts,States,Ownership,Fees,Btech_Courses,Mtech_Courses,Rating
"AAA College of Engineering and Technology, Sivakasi",Virudhunagar, Tamil Nadu,Private,Null,B.E /B.Tech (8 Courses),Null,5.0/5
"Aadishwar College of Technology, Gandhinagar",Bhoyan Rathod, Gujarat,Private,   2.84 L,B.E /B.Tech (11 Courses),M.E /M.Tech. (4 Courses),2.6/5
"AAERT and SSB Faculty of Architecture, Sarvajanik College of Engineering and Technology, Surat",Surat, Gujarat,Private,Null,Null,Null,Null
"Aakar Academy of Architecture, Bangalore",Bangalore, Karnataka,Private,Null,Null,Null,Null
"Aalim Muhammed Salegh Academy of Architecture, Chennai",Chennai, Tamil Nadu,Private,Null,Null,Null,Null
"Aalim Muhammed Salegh College of Engineering, Chennai",Chennai, Tamil Nadu,Private,   2 L,B.E /B.Tech (7 Courses),Null,4.0/5
"Aalim Muhammed Salegh Polytechnic College, Chennai",Chennai, Tamil Nadu,Private,Null,Null,Null,Null
"AANM and VVRSR Polytechnic, Krishna",Krishna, Andhra Pradesh,Private,Null,Null,Null,4.0/5
"Aarav Polytechnic College, Jaipur",Chomu, Rajasthan,Private,   85.50 K,Null,Null,Null
"AAR Mahaveer Engineering College, Keshavgiri",Hyderabad, Telangana,Private,Null,B.E /B.Tech (5 Courses),Null,4.0/5
"Aarooran Polytechnic College, Tiruvarur",Thiruvarur, Tamil Nadu,Private,Null,Null,Null,Null
"Aarsh Mahavidyalaya, Rajkot",Rajkot, Gujarat,Private,   1.26 L,Null,Null,Null
"AVIT Kancheepuram - Aarupadai Veedu Institute of Technology, Kancheepuram",Kancheepuram, Tamil Nadu,Private,Null,B.E /B.Tech (27 Courses),Null,4.1/5
"Aarushi Group of Institutions, Warangal",Warangal, Telangana,Private,   1.40 L,B.E /B.Tech (4 Courses),M.E /M.Tech. (6 Courses),Null
"Aarya-Veer College of Engineering and Technology, Rajkot",Kuvadva, Gujarat,Private,Null,B.E /B.Tech (3 Courses),Null,Null
"AAT College, Chennai",Chennai, Tamil Nadu,Private,Null,Null,Null,Null
"AAT College, Mumbai",Mumbai, Maharashtra,Private,Null,Null,Null,Null
"ASAD Pune - Aayojan School of Architecture and Design, Pune",Pune, Maharashtra,Private,Null,Null,Null,Null
"Aayojan School of Architecture, Jaipur",Jaipur, Rajasthan,Private,   5.03 L,Null,Null,4.3/5
"Abacus Institute of Engineering and Management, Hooghly",Hooghly, West Bengal,Private,Null,B.E /B.Tech (10 Courses),Null,4.9/5
"Abasaheb Parvekar Mahavidyalaya, Yavatmal",Yavatmal, Maharashtra,Private,Null,Null,Null,Null
"Abasaheb Shivajirao Sitaram Patil Institute of Polytechnic, Jalgaon",Jalgaon, Maharashtra,Private,Null,Null,Null,Null
"Abbnoor Polytechnic College, Faridkot",Faridkot, Punjab,Private,Null,Null,Null,Null
"Abdulkalam Institute of Technological Sciences, Khammam",Khammam, Telangana,Private,   45 K,B.E /B.Tech (7 Courses),Null,3.4/5
"ABES Engineering College, Ghaziabad",Ghaziabad, Uttar Pradesh,Private,   5.93 L,B.E /B.Tech (10 Courses),M.E /M.Tech. (2 Courses),4.1/5
"ABESIT Ghaziabad - ABES Institute of Technology, Ghaziabad",Ghaziabad, Uttar Pradesh,Private,   5.02 L,B.E /B.Tech (7 Courses),Null,3.8/5
"Abha Gaikwad-Patil College of Engineering, Nagpur",Nagpur, Maharashtra,Private,   3.60 L,B.E /B.Tech (5 Courses),Null,Null
"Abhay Memorial Trust Group of Institutions, Allahabad",Allahabad, Uttar Pradesh,Private,Null,Null,Null,Null
